"","Country2","variable","value"
"1","Albania","Math",413.16
"2","Australia","Math",493.9
"3","Austria","Math",496.74
"4","Belgium","Math",506.98
"5","Bulgaria","Math",441.19
"6","Brazil","Math",377.07
"7","Canada","Math",515.65
"8","Switzerland","Math",521.25
"9","Chile","Math",422.67
"10","Colombia","Math",389.64
"11","Costa Rica","Math",400.25
"12","Czech Republic","Math",492.33
"13","Germany","Math",505.97
"14","Denmark","Math",511.09
"15","Algeria","Math",359.61
"16","Spain","Math",485.84
"17","Estonia","Math",519.53
"18","Finland","Math",511.08
"19","France","Math",492.92
"20","United Kingdom","Math",492.48
"21","Greece","Math",453.63
"22","Hong Kong SAR, China","Math",547.93
"23","Croatia","Math",464.04
"24","Hungary","Math",476.83
"25","Indonesia","Math",386.11
"26","Ireland","Math",503.72
"27","Iceland","Math",488.03
"28","Italy","Math",489.73
"29","Japan","Math",532.44
"30","Korea, Rep.","Math",524.11
"31","Lithuania","Math",478.38
"32","Luxembourg","Math",485.77
"33","Latvia","Math",482.31
"34","Macao SAR, China","Math",543.81
"35","Moldova","Math",419.66
"36","Mexico","Math",408.02
"37","Macedonia, FYR","Math",371.31
"38","Malta","Math",478.64
"39","Netherlands","Math",512.25
"40","Norway","Math",501.73
"41","New Zealand","Math",495.22
"42","Poland","Math",504.47
"43","Portugal","Math",491.63
"44","Argentina","Math",456.3
"45","China","Math",531.3
"46","United States","Math",500.12
"47","Romania","Math",443.95
"48","Russian Federation","Math",494.06
"49","Singapore","Math",564.19
"50","Slovak Republic","Math",475.23
"51","Slovenia","Math",509.92
"52","Sweden","Math",493.92
"53","Thailand","Math",415.46
"54","Tunisia","Math",366.82
"55","Turkey","Math",420.45
"56","Uruguay","Math",417.99
"57","Vietnam","Math",494.52
"58","Albania","Read",405.26
"59","Australia","Read",502.9
"60","Austria","Read",484.87
"61","Belgium","Read",498.52
"62","Bulgaria","Read",431.72
"63","Brazil","Read",407.35
"64","Canada","Read",526.67
"65","Switzerland","Read",492.2
"66","Chile","Read",458.57
"67","Colombia","Read",424.91
"68","Costa Rica","Read",427.49
"69","Czech Republic","Read",487.25
"70","Germany","Read",509.1
"71","Denmark","Read",499.81
"72","Algeria","Read",349.86
"73","Spain","Read",495.58
"74","Estonia","Read",519.14
"75","Finland","Read",526.42
"76","France","Read",499.31
"77","United Kingdom","Read",497.97
"78","Greece","Read",467.04
"79","Hong Kong SAR, China","Read",526.68
"80","Croatia","Read",486.86
"81","Hungary","Read",469.52
"82","Indonesia","Read",397.26
"83","Ireland","Read",520.81
"84","Iceland","Read",481.53
"85","Italy","Read",484.76
"86","Japan","Read",515.96
"87","Korea, Rep.","Read",517.44
"88","Lithuania","Read",472.41
"89","Luxembourg","Read",481.44
"90","Latvia","Read",487.76
"91","Macao SAR, China","Read",508.69
"92","Moldova","Read",416.23
"93","Mexico","Read",423.28
"94","Macedonia, FYR","Read",351.74
"95","Malta","Read",446.67
"96","Netherlands","Read",502.96
"97","Norway","Read",513.19
"98","New Zealand","Read",509.27
"99","Poland","Read",505.7
"100","Portugal","Read",498.13
"101","Argentina","Read",475.33
"102","China","Read",493.94
"103","United States","Read",527.04
"104","Romania","Read",433.62
"105","Russian Federation","Read",494.63
"106","Singapore","Read",535.1
"107","Slovak Republic","Read",452.51
"108","Slovenia","Read",505.22
"109","Sweden","Read",500.16
"110","Thailand","Read",409.13
"111","Tunisia","Read",361.06
"112","Turkey","Read",428.34
"113","Uruguay","Read",436.57
"114","Vietnam","Read",486.77
"115","Albania","Science",427.22
"116","Australia","Science",509.99
"117","Austria","Science",495.04
"118","Belgium","Science",502
"119","Bulgaria","Science",445.77
"120","Brazil","Science",400.68
"121","Canada","Science",527.7
"122","Switzerland","Science",505.51
"123","Chile","Science",446.96
"124","Colombia","Science",415.73
"125","Costa Rica","Science",419.61
"126","Czech Republic","Science",492.83
"127","Germany","Science",509.14
"128","Denmark","Science",501.94
"129","Algeria","Science",375.75
"130","Spain","Science",492.79
"131","Estonia","Science",534.19
"132","Finland","Science",530.66
"133","France","Science",494.98
"134","United Kingdom","Science",509.22
"135","Greece","Science",454.83
"136","Hong Kong SAR, China","Science",523.28
"137","Croatia","Science",475.39
"138","Hungary","Science",476.75
"139","Indonesia","Science",403.1
"140","Ireland","Science",502.58
"141","Iceland","Science",473.23
"142","Italy","Science",480.55
"143","Japan","Science",538.39
"144","Korea, Rep.","Science",515.81
"145","Lithuania","Science",475.41
"146","Luxembourg","Science",482.81
"147","Latvia","Science",490.23
"148","Macao SAR, China","Science",528.55
"149","Moldova","Science",428
"150","Mexico","Science",415.71
"151","Macedonia, FYR","Science",383.68
"152","Malta","Science",464.78
"153","Netherlands","Science",508.57
"154","Norway","Science",498.48
"155","New Zealand","Science",513.3
"156","Poland","Science",501.44
"157","Portugal","Science",501.1
"158","Argentina","Science",475.19
"159","China","Science",517.78
"160","United States","Science",529.37
"161","Romania","Science",434.88
"162","Russian Federation","Science",486.63
"163","Singapore","Science",555.57
"164","Slovak Republic","Science",460.77
"165","Slovenia","Science",512.86
"166","Sweden","Science",493.42
"167","Thailand","Science",421.34
"168","Tunisia","Science",386.4
"169","Turkey","Science",425.49
"170","Uruguay","Science",435.36
"171","Vietnam","Science",524.64
